cluster_id,access_count
379,3
380,0
381,0
382,1
383,0
384,5
385,0
386,1
387,1
388,0
389,1
390,0
391,1
392,6
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,4
402,3
403,2
404,1
405,0
406,1
407,0
408,0
409,5
410,2
411,0
412,0
413,0
414,2
415,0
416,0
417,0
418,0
419,2
420,0
421,0
422,0
423,3
424,0
425,0
426,3
427,0
428,4
429,0
430,0
431,0
432,0
433,0
434,2
435,0
436,0
437,0
438,4
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,6
450,0
451,0
452,1
453,1
454,0
455,2
456,1
457,5
458,0
459,2
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,4
472,0
473,1
474,3
475,0
476,0
477,1
478,0
479,0
480,2
481,0
482,1
483,4
484,1
485,2
486,0
487,0
488,0
489,0
490,2
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,8
505,0
506,0
507,0
508,0
509,1
510,4
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,4
521,1
522,3
523,0
524,0
525,1
526,0
527,0
528,1
529,0
530,0
531,1
532,0
533,0
534,3
535,1
536,5
537,0
538,5
539,2
540,2
541,0
542,3
543,0
544,3
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,4
553,0
554,0
555,0
556,0
557,2
558,0
559,4
560,1
561,4
562,1
563,3
564,0
565,0
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,2
577,2
578,2
579,3
580,0
581,0
582,2
583,1
584,1
585,0
586,2
587,0
588,0
589,2
590,1
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,2
601,0
602,2
603,4
604,1
605,0
606,0
607,5
608,0
609,0
610,0
611,2
612,0
613,2
614,0
615,0
616,0
617,0
618,2
619,1
620,5
621,0
622,0
623,5
624,5
625,6
626,0
627,0
628,0
629,0
630,0
631,1
632,2
633,0
634,1
635,1
636,2
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,7
645,0
646,0
647,0
648,19
649,0
650,0
651,0
652,0
653,3
654,0
655,1
656,0
657,4
658,1
659,0
660,0
661,2
662,3
663,2
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,3
677,0
678,1
679,2
680,0
681,0
682,2
683,0
684,0
685,1
686,0
687,0
688,0
689,3
690,1
691,0
692,1
693,0
694,2
695,1
696,0
697,0
698,0
699,0
700,0
701,2
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,1
714,1
715,0
716,1
717,3
718,7
719,1
720,3
721,1
722,2
723,0
724,0
725,0
726,0
727,1
728,1
729,1
730,0
731,0
732,0
733,0
734,0
735,3
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,0
748,1
749,0
750,2
751,0
752,0
753,0
754,1
755,1
756,0
757,3
758,1
759,0
760,0
761,0
762,2
763,0
764,0
765,0
766,0
767,0
768,6
769,0
770,0
771,0
772,0
773,0
774,0
775,3
776,3
777,3
778,0
779,3
780,0
781,0
782,0
783,2
784,5
785,0
786,2
787,3
788,0
789,0
790,2
791,1
792,2
793,0
794,2
795,0
796,0
797,0
798,0
799,0
800,2
801,3
802,0
803,0
804,1
805,0
806,3
807,1
808,4
809,3
810,5
811,1
812,0
813,0
814,0
815,3
816,0
817,0
818,1
819,0
820,0
821,6
822,0
823,1
824,0
825,2
826,0
827,0
828,5
829,0
830,3
831,3
832,2
833,3
834,4
835,0
836,2
837,1
838,0
839,0
840,0
841,0
842,4
843,0
844,2
845,1
846,2
847,4
848,0
849,2
850,5
851,2
852,0
853,0
854,0
855,0
856,0
857,5
858,0
859,0
860,0
861,3
862,0
863,1
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,3
872,0
873,0
874,1
875,1
876,6
877,0
878,1
879,0
880,2
881,0
882,0
883,0
884,0
885,5
886,1
887,3
888,0
889,1
890,0
891,0
892,0
893,4
894,0
895,0
896,5
897,0
898,1
899,0
900,0
901,0
902,2
903,2
904,2
905,1
906,0
907,2
908,0
909,1
910,3
911,5
912,0
913,0
914,2
915,0
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,2
926,0
927,0
928,0
929,1
930,0
931,0
932,1
933,2
934,0
935,0
936,1
937,1
938,0
939,1
940,0
941,0
942,1
943,4
944,5
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,2
953,1
954,3
955,0
956,0
957,4
958,0
959,2
960,0
961,2
962,0
963,0
964,0
965,2
966,8
967,3
968,5
969,0
970,0
971,0
972,0
973,2
974,1
975,0
976,5
977,0
978,1
979,4
980,0
981,0
982,0
983,6
984,0
985,0
986,0
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,0
995,2
996,0
997,0
998,0
999,2
1000,2
1001,1
1002,1
1003,0
1004,0
1005,0
1006,2
1007,0
1008,0
1009,0
1010,0
1011,7
1012,1
1013,2
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,2
1021,0
1022,3
1023,0
