repeat_id,index_type,N,d,metric,topk,nq,threads,hnsw_M,hnsw_efC,hnsw_efS,build_s,search_s,qps,avg_ms_per_q,p50_ms,p95_ms,p99_ms,recall_at_k,index_bytes
0,hnsw,50000,64,l2,10,1000,16,16,200,256,9.925519,0.098073,10196.459,0.098,0.809,0.867,9.174,0.952100,20015290
0,hnsw,50000,64,l2,10,1000,16,32,100,64,6.758899,0.046522,21495.365,0.047,0.344,0.423,8.885,0.849700,26412578
0,hnsw,50000,64,l2,10,1000,16,32,100,128,6.933499,0.066968,14932.427,0.067,0.574,5.557,9.421,0.949200,26412578
0,hnsw,50000,64,l2,10,1000,16,32,100,256,6.876202,0.141709,7056.726,0.142,0.942,1.577,21.740,0.986800,26412578
0,hnsw,50000,64,l2,10,1000,16,32,200,64,12.070297,0.040470,24709.877,0.040,0.332,0.385,0.414,0.875900,26412578
0,hnsw,50000,64,l2,10,1000,16,32,200,128,12.129021,0.073765,13556.486,0.074,0.565,7.361,14.590,0.963000,26412578
0,hnsw,50000,64,l2,10,1000,16,32,200,256,11.860817,0.148833,6718.937,0.149,0.885,3.092,10.152,0.991600,26412578
1,flat,50000,64,l2,10,1000,16,,,,0.003851,0.468900,2132.649,0.469,1.057,6.130,10.444,1.000000,12800045
1,hnsw,50000,64,l2,10,1000,16,16,100,64,5.361314,0.030242,33066.926,0.030,0.216,0.263,8.389,0.719900,20015290
1,hnsw,50000,64,l2,10,1000,16,16,100,128,5.814533,0.050618,19755.664,0.051,0.403,0.527,9.167,0.852800,20015290
1,hnsw,50000,64,l2,10,1000,16,16,100,256,5.773149,0.108361,9228.439,0.108,0.848,1.031,9.924,0.938500,20015290
1,hnsw,50000,64,l2,10,1000,16,16,200,64,9.071971,0.028030,35675.710,0.028,0.220,0.263,8.360,0.742900,20015290
1,hnsw,50000,64,l2,10,1000,16,16,200,128,9.329383,0.074141,13487.783,0.074,0.324,0.630,23.497,0.880400,20015290
1,hnsw,50000,64,l2,10,1000,16,16,200,256,9.439047,0.109455,9136.151,0.109,0.698,1.319,17.206,0.954500,20015290
1,hnsw,50000,64,l2,10,1000,16,32,100,64,8.432020,0.043543,22965.578,0.044,0.309,0.354,0.608,0.844700,26412578
1,hnsw,50000,64,l2,10,1000,16,32,100,128,7.602176,0.068621,14572.766,0.069,0.489,6.158,10.970,0.949200,26412578
1,hnsw,50000,64,l2,10,1000,16,32,100,256,7.922916,0.133973,7464.188,0.134,0.818,1.891,21.386,0.985200,26412578
1,hnsw,50000,64,l2,10,1000,16,32,200,64,11.971665,0.046701,21412.972,0.047,0.315,0.363,0.392,0.876800,26412578
1,hnsw,50000,64,l2,10,1000,16,32,200,128,11.507057,0.081028,12341.395,0.081,0.683,6.155,9.281,0.964500,26412578
1,hnsw,50000,64,l2,10,1000,16,32,200,256,13.738666,0.137120,7292.886,0.137,0.957,9.339,13.011,0.991600,26412578
0,flat,100000,64,l2,10,1000,16,,,,0.022748,0.655214,1526.218,0.655,3.588,4.044,4.289,1.000000,25600045
0,hnsw,100000,64,l2,10,1000,16,16,100,64,13.768288,0.039481,25328.659,0.039,0.272,0.352,8.374,0.631200,40033274
0,hnsw,100000,64,l2,10,1000,16,16,100,128,14.625083,0.064397,15528.595,0.064,0.560,4.075,8.970,0.779100,40033274
0,hnsw,100000,64,l2,10,1000,16,16,100,256,12.878319,0.143925,6948.046,0.144,1.053,1.119,1.153,0.882100,40033274
0,hnsw,100000,64,l2,10,1000,16,16,200,64,24.248627,0.053087,18836.960,0.053,0.302,0.363,0.396,0.659700,40033274
0,hnsw,100000,64,l2,10,1000,16,16,200,128,21.078784,0.065973,15157.728,0.066,0.557,2.595,9.042,0.808900,40033274
0,hnsw,100000,64,l2,10,1000,16,16,200,256,22.703651,0.131557,7601.247,0.132,1.057,1.269,9.801,0.911500,40033274
0,hnsw,100000,64,l2,10,1000,16,32,100,64,22.047316,0.064645,15469.142,0.065,0.418,0.467,0.488,0.783300,52820834
0,hnsw,100000,64,l2,10,1000,16,32,100,128,19.559955,0.122019,8195.447,0.122,0.741,0.852,0.908,0.908100,52820834
0,hnsw,100000,64,l2,10,1000,16,32,100,256,22.326628,0.176094,5678.794,0.176,1.518,1.626,1.683,0.971300,52820834
0,hnsw,100000,64,l2,10,1000,16,32,200,64,27.482281,0.058794,17008.625,0.059,0.534,0.804,15.718,0.820200,52820834
0,hnsw,100000,64,l2,10,1000,16,32,200,128,32.418091,0.092873,10767.381,0.093,0.831,1.082,17.178,0.934100,52820834
0,hnsw,100000,64,l2,10,1000,16,32,200,256,37.704648,0.182061,5492.652,0.182,1.429,6.792,10.683,0.983500,52820834
1,flat,100000,64,l2,10,1000,16,,,,0.008574,0.594480,1682.144,0.594,3.266,4.092,12.793,1.000000,25600045
1,hnsw,100000,64,l2,10,1000,16,16,100,64,11.138069,0.033365,29971.149,0.033,0.305,0.363,8.746,0.618600,40033274
1,hnsw,100000,64,l2,10,1000,16,16,100,128,13.462150,0.063766,15682.354,0.064,0.501,0.894,14.951,0.767200,40033274
1,hnsw,100000,64,l2,10,1000,16,16,100,256,12.823803,0.128770,7765.759,0.129,0.828,5.201,7.130,0.873800,40033274
1,hnsw,100000,64,l2,10,1000,16,16,200,64,16.319882,0.034009,29404.153,0.034,0.273,0.311,4.806,0.656000,40033274
1,hnsw,100000,64,l2,10,1000,16,16,200,128,16.530392,0.064075,15606.625,0.064,0.579,7.030,9.319,0.802100,40033274
1,hnsw,100000,64,l2,10,1000,16,16,200,256,23.875565,0.133181,7508.570,0.133,1.110,1.302,5.882,0.901000,40033274
1,hnsw,100000,64,l2,10,1000,16,32,100,64,22.464846,0.049996,20001.634,0.050,0.389,0.439,0.465,0.772900,52820834
1,hnsw,100000,64,l2,10,1000,16,32,100,128,20.733444,0.103981,9617.103,0.104,0.808,0.961,2.741,0.900000,52820834
1,hnsw,100000,64,l2,10,1000,16,32,100,256,19.140430,0.169844,5887.771,0.170,1.120,5.224,10.484,0.964800,52820834
1,hnsw,100000,64,l2,10,1000,16,32,200,64,34.540444,0.057087,17517.167,0.057,0.543,3.883,8.773,0.812800,52820834
1,hnsw,100000,64,l2,10,1000,16,32,200,128,28.426558,0.098750,10126.589,0.099,0.823,0.936,3.690,0.926700,52820834
1,hnsw,100000,64,l2,10,1000,16,32,200,256,34.896327,0.253215,3949.207,0.253,1.211,2.161,17.404,0.978000,52820834
0,flat,10000,128,l2,10,1000,16,,,,0.001607,0.066781,14974.368,0.067,0.549,0.559,0.790,1.000000,5120045
0,hnsw,10000,128,l2,10,1000,16,16,100,64,1.228854,0.026226,38130.578,0.026,0.185,0.197,0.271,0.817800,6560442
0,hnsw,10000,128,l2,10,1000,16,16,100,128,1.016030,0.055052,18164.527,0.055,0.380,0.585,16.548,0.923100,6560442
0,hnsw,10000,128,l2,10,1000,16,16,100,256,1.628744,0.100474,9952.853,0.100,0.668,0.697,0.783,0.974600,6560442
0,hnsw,10000,128,l2,10,1000,16,16,200,64,2.314832,0.043765,22849.374,0.044,0.206,0.262,8.349,0.827400,6560442
0,hnsw,10000,128,l2,10,1000,16,16,200,128,2.720181,0.056816,17600.571,0.057,0.359,0.422,15.952,0.934100,6560442
