time,rss_mb,cpu_percent,read_kbs,write_kbs,read_chars_kbs,write_chars_kbs,minor_faults_s,major_faults_s
2025-08-18 14:49:01.084590,749.46,429.5,287760.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.189512,749.46,419.1,282760.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.290120,749.46,449.4,248760.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.390700,749.46,409.5,258080.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.491290,749.46,399.5,235760.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.591890,749.46,349.5,206040.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.692490,749.46,399.5,232160.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.793103,749.46,419.4,260160.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:01.893702,749.46,429.5,128160.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:01.994269,749.46,469.4,27240.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:02.094879,749.46,449.4,49800.0,0.0,0.0,1.28,540.0,0.0
2025-08-18 14:49:02.198738,749.71,439.3,322560.0,0.0,0.0,0.0,14360.0,0.0
2025-08-18 14:49:02.299377,752.61,479.4,329320.0,0.0,0.0,0.0,9060.0,0.0
2025-08-18 14:49:02.399987,754.7,399.5,280120.0,0.0,0.0,0.0,13020.0,0.0
2025-08-18 14:49:02.500578,757.16,439.5,319400.0,0.0,0.0,0.0,1400.0,0.0
2025-08-18 14:49:02.601189,757.42,449.5,273200.0,0.0,0.0,0.0,3850.0,0.0
2025-08-18 14:49:02.701811,758.5,379.5,261520.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:02.802407,758.5,359.6,242840.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:02.902975,758.5,349.6,253040.0,0.0,0.0,0.0,80.0,0.0
2025-08-18 14:49:03.003559,758.5,399.5,277880.0,0.0,0.0,0.0,40.0,0.0
2025-08-18 14:49:03.108816,758.5,429.1,285200.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.209391,758.5,379.5,230720.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.309951,758.5,499.4,369800.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.410502,758.5,399.6,334640.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.511073,758.5,389.5,325400.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.611641,758.5,399.5,326960.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.712226,758.5,729.2,542120.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.812832,758.5,779.0,547520.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:03.913420,758.5,739.1,560480.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.013963,758.5,729.3,519160.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.119202,758.5,778.1,581520.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.219852,758.5,768.9,564160.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.320455,758.5,789.0,542840.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.421009,758.5,769.4,510600.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.521592,758.5,779.0,499080.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.622217,758.5,769.0,554440.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.722853,758.5,798.9,521000.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.823472,758.5,798.9,547720.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:04.925178,758.5,780.4,554080.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.025762,758.5,759.1,224400.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.130895,758.5,738.6,13120.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.231764,758.5,717.3,418040.0,0.0,0.0,1.28,1000.0,0.0
2025-08-18 14:49:05.332363,758.5,779.0,589240.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.432967,758.5,798.9,592960.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.533574,758.5,779.0,568960.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.634189,758.5,789.0,541320.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.734789,758.5,779.0,580640.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.835398,758.5,779.0,542680.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:05.935986,758.5,769.1,522520.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.036592,758.5,749.0,492600.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:06.142043,758.5,678.4,512280.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.242647,758.5,749.0,594200.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.343241,758.5,769.0,604400.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:06.443857,758.5,719.1,567720.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.544427,758.5,779.1,572560.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.644975,758.5,769.3,542320.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.745562,758.5,739.1,558400.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:06.846152,758.5,739.0,598640.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:06.946733,758.5,779.0,526160.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:07.047324,758.5,809.0,576120.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.152421,758.5,628.6,484160.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:07.253000,758.5,789.3,620360.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.353620,758.5,798.9,596120.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.454214,758.5,779.0,523680.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.554812,758.5,789.0,545640.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.655406,758.5,809.0,530680.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.755994,758.5,779.1,578080.0,0.0,0.0,0.0,0.0,0.0
